"author_id","tweet","username","follower","tweet_clean","emoticon_sentimen_score"
1427939969826398208,"Yuk Kak. (WTS Wangsit) Buku Wangsit Platinum SOSHUM 2023 nya, stok terbatas dan ready  tanpa harus pre-order yaa 🤗.
https://t.co/SXI19StnFL

https://t.co/CE4SQ5RV9x

#ambistwt #ambisverse #soshum #studytwt #zonajajan #wts #sbmptn #utbk #studyacc  #wangsit #snbt #bukusnbt https://t.co/Azipbih3sf https://t.co/lMhYP9GDIg","halofadlistore",155,"yuk kak wts wangsit buku wangsit platinum soshum nya stok batas ready preorder ya 🤗 ambistwt ambisverse soshum studytwt zonajajan wts sbmptn utbk studyacc wangsit snbt bukusnbt",0
1427939969826398208,"@JualanMenfess Yuk Kak. (WTS Wangsit) Buku Wangsit Platinum SOSHUM 2023 nya, stok terbatas dan ready  tanpa harus pre-order yaa 🤗.
https://t.co/SXI19StnFL

https://t.co/CE4SQ5RV9x

#ambistwt #ambisverse #soshum #studytwt #zonajajan #wts #sbmptn #utbk #studyacc  #wangsit #snbt #bukusnbt https://t.co/XiAqbuAIjm","halofadlistore",155,"yuk kak wts wangsit buku wangsit platinum soshum nya stok batas ready preorder ya 🤗 ambistwt ambisverse soshum studytwt zonajajan wts sbmptn utbk studyacc wangsit snbt bukusnbt",0
1588461055809708032,"tobk pola snbt ke 2 ku masih nt wkwk","catstuudy",30,"tobk pola snbt ku nanti wkwk",0
1489895665597435904,"anjir gua bingung mo belajar snbt kayak gmn caranya, cuma maen zencore doang dari bulan lalu","walterwhite333",193,"anjir gua bingung mau ajar snbt kayak bagaimana cara main zencore doang bulan ",0
1538905584509931520,"@efpsiuwiw23 Yaudahlahhh. Lolos snbt juga belum tentu bisa kuliah.😂😂😂","grapeeloop",979,"yaudahlah lolos snbt kuliah😂😂😂",0.6629052113254
1205629250423779328,"👨‍🎓 KALIAN YANG MAU IKUT KEDINASAN DAN SNBT, BAGI WAKTU BELAJARNYA GMN","sbmptnfess",541941,"👨🎓 ikut kedinasan snbt waktu ajar bagaimana",1.15584415584416
1325942916922048512,"@pawwwsh avv happyy birthday, alnaa!! smgaa lolos snbt'23, aamiin 🥳🥰","efpsiuwiw23",782,"avv happyy birthday alnaa moga lolos snbt amin 🥳🥰",0
1437239822968446976,"Buku snbt yang bagus apaan ya?","daffodilflowr",2,"buku snbt bagus ya",0
1325942916922048512,"MASAA GUE MIMPI UDAH MAU BUKA PENGUMUMAN SNBT AJAAA, TAKOET😭😭😭","efpsiuwiw23",782,"masaa gue mimpi sudah buka umum snbt saja takoet😭😭😭",-0.280130293159609
1572894560698904576,"stop ya stop gw gamau baca soal snbt","nthngelsee",4,"stop ya stop gue enggak mau baca soal snbt",0
1247395398836047872,"Nah ini cara untuk pengerjaannya yah..

Mudah bangett kan ..!!
Setelah pengerjaan akan muncul video pembahasan dan teks pembahasan.
#snbt #snbp https://t.co/ay7nDvZgDK","CerebrumId",29748," cara untuk kerja ya mudah banget kerja muncul video bahas teks bahas snbt snbp",0
1256779595556065280,"Pagi-pagi mikirin snbp snbt + tes agak berat ya","soyypengenambis",1167,"pagipagi pikir snbp snbt tes berat ya",0
1247395398836047872,"Tolong dibaca dengan baik dan benar ya guys..hehee

Ini persyaratan untuk daftar Try Out Gratis Akbar yah.. #snbt #snbp https://t.co/B3KO5ZsV8D","CerebrumId",29748,"tolong baca baik benar ya guyshehee syarat untuk daftar try out gratis akbar ya snbt snbp",0
1247395398836047872,"Tryout AKBAR SNBT 2023 ter-update GRATISSSS 🔥🔥🔥🔥

Hanya untuk 5000 peserta saja guys‼️

Cara daftar dan pengerjaannya,baca👇👇 https://t.co/lARZlgY8UU","CerebrumId",29748,"tryout akbar snbt terupdate gratis 🔥🔥🔥🔥 untuk serta guys cara daftar pengerjaannyabaca👇👇",1.06977808281858
1484099785959575552,"Sosialisasi snbt buruan gt, gantung bgt dah","lyuriss",154,"sosialisasi snbt buru begitu gantung banget deh",0
1203275782010761216,"feeling dumb turns into kapan ya snbt","ecchinodermatas",1182,"feeling dumb turns into ya snbt",0
1145123964940718080,"📌Video Bahas Soal SNBT / UTBK 2023
📝Penalaran Matematika Part 4

Terinspirasi dari SAT (scholastic aptitude test) subtes Math yang ada di negeri sebrang. 

#studytwt #snbt #ambistwt https://t.co/F9bGQWwVta","bahassoalfess",45286,"📌video bahas soal snbt utbk 📝nalar matematika part inspirasi sat scholastic aptitude test subtes math neger sebrang studytwt snbt ambistwt",-0.329493087557604
1463854567615971328,"@sbmptnfess Adaa nder, Ruangguru Privat bisa pesen tutor online mapel kimia, bio atau prepare SNBT📚💖 uda ada yg include to SNBT jugaa

Jamnya bisa nyesuain jadwal sender bgt fleksibel sesuai request, klo kurang oke bisa ganti tutor jugaa😙🫶🏻

Kindly dm/wa di bio, tanya2 dlu bisaa nder","knyfrmnday",419,"ada nder ruangguru privat pesan tutor online mapel kimia bio prepare snbt📚💖 sudah yang include tapi snbt juga jam nyesuain jadwal sender banget fleksibel suai request kalo kurang oke ganti tutor juga😙🫶🏻 kindly dmwa bio tanya dulu bisa nder",1.84849457062799
1463854567615971328,"@sbmptnfess Brain Academy Online buat intensif SNBT uda worth it bgt pake live teaching plus klinik PR nder📚💖 

Apalagi skrg uda ada paket semester genap, pake kodis dri aku makin affordable😱🫣

Boleh ketuk dm buat konsul paket, free trial class sm spill kodisnya nder🌷✨","knyfrmnday",419,"brain academy online intensif snbt sudah worth itu banget pakai live teaching plus klinik pr nder📚💖 sekarang sudah paket semester genap pakai kodis dari affordable😱🫣 ketuk dm konsultasi paket free trial class sama spill kodisnya nder🌷",1.79990827905432
1463854567615971328,"@schfess Brain Academy Online si nder bisa live teaching materi SMA kls 12 plus SNBT juga. Tahun lalu ada siswa yg kubantu bisa keterima UTBK jg pake paket ini🤗🤍

Ada free trial class yg bisa dicoba dulu nder. Feel free pake kodisku di paket sem.genap makin murah, ketuk dm yaa🌷✨","knyfrmnday",419,"brain academy online sih nder live teaching materi sama kls plus snbt tahun siswa yang kubantu terima utbk juga pakai paket 🤗🤍 free trial class yang coba nder feel free pakai kodisku paket semgenap murah ketuk dm ya🌷",0.551724137931034
1463854567615971328,"@annhnyv Mjb, bantu saranin Brain Academy Online buat intensif SNBT uda worth it bgt pake live teaching plus klinik PR kak📚💖

Apalagi skrg uda ada paket semester genap, pake kodis dri aku makin murah

Boleh ketuk dm buat konsul paket, free trial class sm spill kode diskonnya kak🌷✨","knyfrmnday",419,"mjb bantu sar brain academy online intensif snbt sudah worth itu banget pakai live teaching plus klinik pr kak📚💖 sekarang sudah paket semester genap pakai kodis dari murah ketuk dm konsultasi paket free trial class sama spill kode diskon kak🌷",1.60964279232866
1463854567615971328,"Misi misi psps~ mau nginfoin nih Brain Academy Online kini uda ada versi paket semester genapnya🙆🏻‍♀️😻😽💐

Mulai dari buat SD, SMP, SMA, Intensif SNBT, Kedokteran, Kedinasan adaaa, bisa bljr skrg😱🫣🤯

Feel free ketuk dm buat spill kodis&amp;pricelist🎊🎉💫💞✨https://t.co/LoQdrly2Dq","knyfrmnday",419,"misi misi psps nginfoin nih brain academy online sudah versi paket semester genap🙆🏻😻😽💐 mulai sd sampai sama intensif snbt dokter kedinasan ajar sekarang😱🫣🤯 feel free ketuk dm spill kodispricelist🎊🎉💫💞",5.39292549898797
1142353340069584896,"Day 2

Hari ini gw ngulang materi reproduksi sel salah satunya mitosis, selesai materi lanjut soal 👍🏽

#SNBT2023 #kitabisa #Biology https://t.co/bUhSuMSn5j","sdneyyyyyyy",71,"day hari gue ngulang materi reproduksi sel salah satu mitosis selesai materi lanjut soal 👍🏽 snbt kitabisa biology",0.522114347357066
1550726916176777216,"guys, panitia SNBT tuh yg mana ntar? tetap LTMPT kah?","theeselies",82,"guys panitia snbt tuh yang entar tetap ltmpt kah",0
1445168982139437056,"@selawbgtdg umm aku biasanya nyempet"" in belajar snbt nyaa, tapi aku suka dahuluin tugass, kadang kalo deadline nya masi lama dan aku bisa ngerjain tugas tersebut dalam jangka waktu yang singkat aku banyakin belajar buat snbt nya, atau di jam istirahat juga digunain buat review materi"" 🙌","owreeows",1351,"umm nyempet ini ajar snbt nya suka dahuluin tugass kadang kalo deadline nya masih ngerjain tugas jangka waktu singkat banyak ajar snbt nya jam istirahat digunain review materi 🙌",0.560424966799469
981195653047926784,"no offense but keterima SNBT fakultas kedokteran universitas Brawijaya tahun ajaran 2023/2024 actually sucks","felliciaikaaaa",27,"no offense but terima snbt fakultas dokter universitas brawijaya tahun ajar actually sucks",0
1575164172551487488,"daily life routine:
latsol tps(rumah) -ngezencore(bus)-utul/simak(bus)-latsol snbt(bus/pulang)-latsol tka(rumah)","jadidutashampoo",8,"daily life routine latsol tpsrumah ngezencorebusutulsimakbuslatsol snbtbuspulanglatsol tkarumah",0
3349370172,"@filmrinas honorary snbt member","stllmrs_north",5408,"honorary snbt member",0
1205629250423779328,"👨‍🎓 Ada yang les privat online kimia sama bio gitu gak? Atau les privat buat snbt nanti? Kalau ada spill dong","sbmptnfess",541941,"👨🎓 les privat online kimia bio begitu enggak les privat snbt spill ",1.15584415584416
1586284848230338560,"@szasupremasy Itu tergantung utbk nya nnti di bulan apa, biasanya kn utul dan simak di laksanakan se sudah utbk/snbt
Nnti juga di update lagi infonya","Exzoeey",17," gantung utbk nya nanti bulan kan utul simak laksana utbksnbt nanti update info",0
1531550255811964928,"Tp dr skrg harus semangat bljr buat snbt :)","bamtyunnzz",2,"tapi dari sekarang semangat ajar snbt",0
1529782871635808256,"Awal tahun baru fokus belajar materi snbt","asamkonjugasi",94,"awal tahun baru fokus ajar materi snbt",0
1439230579455705088,"Rekomen buku buat belajar snbt 2023 dong, please huhuuu","hahhh_hu",17,"rekomen buku ajar snbt please huhu",0
1590723978028425216,"haloo-!! i'm new at #studytwt and i'm looking for moots

•call me dilla
•she/her, 03l
•gapyear²²
•soshum
•like nct, music, and novel

free tag tryout or about snbt on twt/ig, pls help like/rt ya thank u♡
#studytwt #studyacc #AMBISVERSE","ultragurlie",48,"haloo im new at studytwt and im looking for moots call me dilla sheher gapyear soshum like nct music and novel free tag tryout orang about snbt on twtig pls help likert ya thank studytwt studyacc ambisverse",0
1486991599548923904,"@filmrinas tingnan mo pa snbt gdm para naman makita mo di kami nagbibiro baccla","kminjeongfiles",2224,"tingnan mau apa snbt gdm naman makita mau nagbibiro baccla",0
1486991599548923904,"@filmrinas naneto walang tiwala samin hahaha payag kayo non mga taga snbt","kminjeongfiles",2224,"naneto walang tiwala samin hahaha payag kayo non mga taga snbt",0
1590693380102582272,"sekarang soal-soal snbt tuh carinya dimana yaa refrensiinya 🥲🥲 masih bingung sistemnya","namiilily",13," soalsoal snbt tuh cari mana ya refrensiinya 🥲🥲 bingung sistem",0
1414858102931820544,"no offense but keterima Psikologi UGM jalur SNBT 2023 actually sucks https://t.co/yv0nws1nsT","0nednd",35,"no offense but terima psikologi ugm jalur snbt actually sucks",0
1201673806156161024,"sch! ada yang punya kumpulan latsol penalaran mtk snbt tidak??? pls notice sender hehehe tia&lt;33 https://t.co/KVS3sU0lL7","schfess",495887,"sch punya kumpul latsol nalar mtk snbt pls notice sender hehehe tialt",0
