author_id,tweet,username,follower
1201673806156161025,sch! ada yang punya kumpulan latsol penalaran mtk snbt tidak??? pls notice sender hehehe tia&lt;33 https://t.co/KVS3sU0lL7,schfess,495887
1549926746006630401,"10.11.2022

Bljr Literasi B.Indo dan Latsol ""Paragraf"" dan ngerjain latsol Penalaran Matematika. 

@Laaladidadyyy @eve_restt2 @snotcpage @zziuu_ Blm belajar byk krn msh syok sma tipe soal snbt yg agak2. Moga BP3 cepet sosialisasi ya guys 🥲 https://t.co/M2mCOxig4f",gia_notes,681
1547772772411052032,@pencariicuan @sbmptnfess Hai leoon salken 👋🏻 let's be friend🤗 kalau mau sharing atau tanya2 seputar snbt boleh dm aku ya 😆☝🏻,rnjunitb,166
1249280173721059328,"@pawwwsh Kakk mjb, kakak lewat tl ku. Kakak ngerjain nya lewat mana kak kalo boleh tauu? Pgn latihan snbt jugaa:)))",pixiestrare,110
1249280173721059328,YG PUNYA LATIHAN SOAL SNBT TAUN INI BAGII PLSSSSSSS BAGI DONG,pixiestrare,110
1479038043805814784,"masih bingung mau nya gimana dan apa, pengen berjuang lg buah snbt tapi ga yakin, blm mulai bljr dan masih seneng leha², nyari kerja jg blm dapet, sedang krisis diri:)",hellomadepak,5
1201673806156161025,sch! kalian latsol snbt dari mana aja? aku bingung bgt soalnya kan tps² utbk yg tahun lalu beda soalnya sama snbt nanti😭,schfess,495887
1369882923202015233,berarti jeongwoo ikut snbt kah? kok dia nggak beritanya nggak ikut tes...,gyuundip,59
1540680422375321601,"Hallo, i'm looking for friends buat snbt, sekalian nyari temen buat ngambis juga nih, kalau ada yang sama jurusannya ambis bareng yu? Let's be moots!
• Call me sendu/ndu
• class 12 mipa
• 05L
Bantu rt/like ya kalau lewat, thank u.
#studytwt #studyacc #AMBISVERSE",fairysenduka,111
1313771257821712384,"gak menye menye, cuma pengen lolos snbt 23 dengan score 700+",sirca1983,108
60841385,"Untuk lulus ke FSRD ITB atau DKV FSR ISI Yogya atau DKV UNS buka  berarti harus jago gambar loh !, Nah, di Master Seni Sahabat akan dilatih kreativitas di dalam gambar !
WA 081215172871
#portofolio #gambarsuasana #snbp #snbt #bimbelgambar #snmptn #sbmptn #fsrditb https://t.co/6jNuhNLgGS",master_seni,207
60841385,"Untuk lulus ke FSRD ITB atau DKV FSR ISI Yogya atau DKV UNS buka  berarti harus jago gambar loh !, Nah, di Master Seni Sahabat akan dilatih kreativitas di dalam gambar !
WA 081215172871
#portofolio #gambarsuasana #snbp #snbt #bimbelgambar #snmptn #sbmptn #fsrditb https://t.co/aN2yndFilm",master_seni,207
1428986593457577987,doain gue tetep kuat sampe finish (finishnya lolos snbt) 🥰🦋,agustushanhan,212
1429584440154464262,"Snbt tahun depan ❌
Beasiswa luar negeri tahun depan ✅",retropersay,34
1489875899981840384,snbt w nya waras,studiouszara,185
1418879626835812356,@sbmptnfess Kita kalo buat ikut snbt masih bisa ga yg lulusan 2020?,Ndotyaja,4
